collocate,raw_frequency,MI
loose,647,0.5868142370350926
fool,1349,0.9506539639963469
yeoman,46,3.9236663156068436
reliance,76,2.728427191249662
row,575,2.091084851858533
tall,1609,0.3689395651035551
sober,302,1.3487335141611234
doone,227,1.6342105140545906
withers,14,4.4201032019207345
lose,1157,0.6987219849022619
vi,179,1.8717747256952382
hooks,69,2.8250540269387336
gives,650,1.2753353492062556
boys,1243,-0.06612255997471791
december,91,2.548301025019143
murderer,173,3.8517790860935275
panting,227,1.6342105140545906
drake,19,4.114721552369552
faggus,116,2.3055703404296284
feebly,169,1.9292618166129196
cry,1797,1.357046113980489
idleness,130,2.1916260810804107
partly,889,0.2690632960220885
lengthwise,6,5.267401062307938
ward,263,1.4870064993582286
gobble,5,5.449722619101893
opinions,472,1.595328726510383
crafty,50,3.147137526107847
ceased,895,1.3609491019292475
hook,145,2.0824267891154187
tombstone,58,2.998717520989574
shot,1177,1.087048712943826
murderers,45,3.2524980417656733
latin,290,2.0824267891154187
ensor,54,3.0701764849717184
destroyed,282,1.4172534605978795
lorna,703,1.6024159283934378
gwenny,102,2.434187718251722
beauty,2629,-0.12205111263394287
burdened,63,2.9160258051444603
stuck,431,0.9930524414322452
fought,478,0.889549799044537
descended,529,0.7881720996776937
hereupon,55,3.051827346303522
carfax,37,3.4482426188917685
hated,672,1.9351965521327341
savage,525,0.7957622689443693
prayers,382,1.8068871034893632
longed,561,0.7294396260132968
fathers,322,1.2846089859915848
predikant,21,6.499544743600571
senzangacona,4,5.6728661704161025
combination,142,2.1033334739347325
portuguese,36,4.168788773639829
mist,468,0.9106922356183463
blandly,64,2.9002774481763214
recognised,410,2.1416156605057495
younger,892,0.958841579515929
thereon,145,2.0824267891154187
accustomed,780,0.3998666118523556
round,8852,0.743350552604834
neck,1389,1.7687313378369627
impatient,430,0.995375322848385
meditatively,76,2.728427191249662
gibson,1255,0.6174168605300543
persuaded,356,2.2828420893520724
garrulous,33,3.5626529700695126
delighted,678,1.9263076047154881
fond,1487,1.1409389461957287
stephen,196,2.474193052865421
persevered,42,3.321490913252625
doggedly,50,3.147137526107847
agent,315,2.6928822538302506
grieve,181,1.8606635002701672
scotch,182,2.548301025019143
annoyed,376,1.8227185687060439
dress,2043,0.13013311727831625
yard,824,0.34499000162652144
switching,12,4.5742538817479925
eyre,140,2.1175181089266886
displeased,180,2.559350861205728
harassed,75,2.7416724179996828
gaieties,21,4.01463809381257
acutely,87,2.593252412881409
produced,667,0.5563704856203694
sobs,192,1.8016651595082116
happiness,1471,0.45860999149450093
break,1382,1.2141678883282685
fashioned,471,1.5974496180795208
dislikes,60,2.9648159693138925
eating,492,0.8606818150436849
cheese,230,1.6210812226127977
likes,549,1.849674378694572
wisdom,759,1.1203059347003086
disliked,277,2.1282902059085997
forbidding,41,4.038735645391631
favour,858,0.30455643204803085
greet,149,2.055214225590534
depression,146,2.0755539098276565
exclaim,74,2.755095438331823
bride,713,1.1828262916816423
labourers,104,2.4147696323946204
message,743,2.057902399252334
prohibition,43,3.2979604158424305
raise,379,1.1216243264535666
vexes,17,4.225947187479777
aloud,779,2.347059634720558
forbade,96,3.187959520628102
dissension,13,5.1873583546344015
proposal,332,1.2540255626195047
molly,2522,1.1722631640664414
straightforward,106,2.395721437423926
feast,267,1.4719118731357435
sympathized,30,3.657963149873838
visits,361,1.1702825732031121
ashcombe,57,3.016109263701443
acquainted,422,1.0141552174999813
unless,1556,1.0955811879175468
osborne,586,2.072135103078871
disposed,526,0.7938593187982833
watches,129,2.199348127174321
flesh,736,0.45793041280711694
passionate,629,1.308176455395498
reconciliation,80,2.6771338968621117
believing,201,1.7558556234769174
speaks,277,2.821437386468545
separated,330,1.2600678770754672
brood,77,2.715355109682309
neglected,348,1.900105232321464
churchwarden,26,3.8010639935145107
tobacco,348,1.2069580517615186
box,1363,0.94032938850757
stroked,102,2.434187718251722
happier,300,1.3553780568797922
admire,445,0.9610862493697527
xxvii,55,3.051827346303522
sate,363,1.8579048778310876
indoors,160,1.983986716302166
strove,202,2.4440400146947336
induced,263,1.4870064993582286
particularly,705,1.599575017391834
bother,184,2.537371954486953
encountered,201,2.4490028040368625
pettishly,27,3.7633236655316638
shouldn,815,1.0491195988550754
confirmed,250,2.230846794233692
boldly,200,1.7608431649879563
older,701,1.1997998250613482
irritate,45,4.638792402885564
misunderstood,72,2.7824944125199376
offence,345,1.2156161145046331
complaints,68,2.8396528263598864
sedative,15,4.351110330433783
dies,156,3.3955988854063466
sparing,47,3.2090129298259344
suffering,764,1.1137399229294178
deprecated,17,4.225947187479777
denied,268,2.1613207315850818
consumptive,27,3.7633236655316638
grandson,207,2.419588918830569
displeasure,142,2.1033334739347325
scolding,116,2.3055703404296284
excepting,99,2.464040681401403
borne,480,0.8853744276340565
increased,410,1.7361505523975849
pity,1566,0.8014929436533544
grant,339,1.9263076047154881
bond,225,1.643060129331573
amusements,91,2.548301025019143
remark,883,0.27583533093203305
request,540,2.1538857530975637
inquiries,388,1.7913023724726649
throw,861,0.9942132076682076
cynthia,1133,0.026536270507986775
hears,151,2.0418806947210686
remembering,345,1.2156161145046331
charge,998,0.15340725522452903
wedding,594,1.7708935008414577
finished,1156,0.6995866628636156
whereabouts,83,2.640319923739395
stare,373,1.8307292924521228
phew,14,4.4201032019207345
bereaved,35,4.89010683116647
trusted,478,1.5826969796044823
women,4904,-1.4386459460800542
maybe,310,2.0157354146167465
difficulty,1048,0.10452166665500565
sudden,2096,0.10452166665500565
extreme,583,0.6909733451855008
definite,299,1.3587169581453067
tacitly,65,2.884773261640356
reasonable,301,1.3520502667871173
urge,171,3.016109263701443
appears,413,1.7288601191349056
adopt,134,2.1613207315850818
dotes,9,4.861935954199773
sweetness,349,1.8972357898935113
heartily,404,1.7508928341347885
alluding,67,2.854467912145027
proposed,648,1.2784170157436636
quarantine,2,6.366013350976048
compressed,89,2.5705241618038532
approve,208,1.721622451834675
observant,105,2.40520018137847
versus,12,4.5742538817479925
glorify,8,4.979718989856157
kinsfolk,44,3.274970897617732
prejudiced,42,3.321490913252625
resemble,76,3.827039479917772
years,6514,0.4746761230360336
lied,91,3.9345953861390335
selected,202,1.7508928341347885
journeyman,23,4.616813496166789
debts,298,2.4606793336986983
risked,74,2.755095438331823
cherished,206,2.4244315433063575
heal,55,3.051827346303522
imposed,130,2.884773261640356
stayed,686,0.5282829038101078
affable,82,2.65244128427174
edward,992,1.5457317853710109
purchased,115,2.314228403172743
putting,1340,0.5518828191509814
goes,1368,0.936667722021607
eunice,311,2.7056619804766497
forsook,46,3.2305191350468982
fairmount,4,6.366013350976048
dunboyne,126,3.6091729857044057
already,3557,0.8283979086428512
approves,19,4.807868732929498
vex,108,3.0701764849717184
congregation,173,1.905868937038214
directly,741,1.1443070867998515
excellent,868,1.3915811055437528
strangely,566,0.72056645333281
belgium,32,3.5934246287362663
defended,83,2.640319923739395
plainly,569,0.7152800974096621
sweet,2325,0.0008323940744816692
ready,3009,0.1484097435740577
self,3003,-0.255059355887392
guest,585,1.7861609729722463
approval,210,2.810665289486634
gracedieu,153,2.721869790703503
unusually,164,1.9592941037117946
helena,368,1.1510775933670623
discouraged,51,3.127334898811667
patient,708,1.1898636184022187
patience,632,1.303418317949081
imitated,53,3.0888686179838714
motive,387,1.1007358385062114
ireland,210,1.7120530008185244
goodness,545,0.7583747368727489
